PID,TIME,%CPU,%MEM,USER,COMMAND
2166,00:00:27,0.0,0.1,vektor,org_kde_powerde
2179,00:00:00,0.0,0.0,vektor,at-spi-bus-laun
2193,00:00:00,0.0,0.0,vektor,agent
2200,00:01:21,0.0,0.0,vektor,dbus-daemon
2216,00:01:05,0.0,0.1,vektor,kactivitymanage
2222,00:01:19,0.0,0.3,vektor,wsatspi
2248,00:00:41,0.0,0.0,vektor,at-spi2-registr
2272,00:00:18,0.0,0.0,vektor,kscreen_backend
2324,00:00:14,0.0,0.0,root,mount.ntfs
2329,00:00:24,0.0,0.0,root,mount.ntfs
2352,00:00:00,0.0,0.0,vektor,obexd
2393,00:11:12,0.2,0.0,vektor,ksysguardd
2478,00:00:02,0.0,0.0,vektor,file.so
3091,00:00:18,0.0,0.2,vektor,baloorunner
3110,00:00:01,0.0,0.0,vektor,xdg-desktop-por
3114,00:00:03,0.0,0.0,vektor,xdg-document-po
3117,00:00:00,0.0,0.0,vektor,xdg-permission-
3128,00:00:19,0.0,0.2,vektor,xdg-desktop-por
3137,00:00:00,0.0,0.0,vektor,gnome-keyring-d
3150,00:00:00,0.0,0.0,vektor,gvfsd
6677,00:01:49,0.0,0.7,vektor,evince
6684,00:00:01,0.0,0.0,vektor,gvfsd-metadata
6710,00:00:00,0.0,0.0,vektor,evinced
7328,02:42:41,3.2,1.0,vektor,dolphin
7337,00:00:26,0.0,0.0,vektor,zsh
7403,00:00:00,0.0,0.0,vektor,zsh
7415,00:00:00,0.0,0.0,vektor,zsh
7417,00:00:01,0.0,0.0,vektor,zsh
7418,00:00:07,0.0,0.0,vektor,gitstatusd-linu
7752,00:00:10,0.0,0.0,vektor,gvfs-udisks2-vo
7760,00:00:00,0.0,0.0,vektor,gvfs-gphoto2-vo
7764,00:00:00,0.0,0.0,vektor,gvfs-goa-volume
7768,00:00:00,0.0,0.1,vektor,goa-daemon
7775,00:00:00,0.0,0.0,vektor,goa-identity-se
7780,00:00:05,0.0,0.0,vektor,gvfs-afc-volume
7786,00:00:00,0.0,0.0,vektor,gvfs-mtp-volume
7790,00:00:00,0.0,0.0,vektor,gvfsd-trash
7824,00:00:00,0.0,0.0,vektor,gvfsd-network
7837,00:00:00,0.0,0.0,vektor,gvfsd-dnssd
11603,00:00:09,0.0,0.4,vektor,thumbnail.so
13567,00:02:26,0.0,0.0,vektor,kio_http_cache_
34553,00:00:00,0.0,0.0,root,loop26
68847,00:00:53,0.0,1.9,vektor,krunner
89461,00:00:03,0.0,0.0,root,kworker/3:2H-kblockd
89771,00:00:01,0.0,0.0,root,kworker/1:2H-events_highpri
91702,00:00:01,0.0,0.0,root,kworker/0:0H-events_highpri
94283,00:00:00,0.0,0.0,root,kworker/2:0H-events_highpri
99598,00:00:00,0.0,0.0,vektor,gvfsd-http
104761,00:00:11,0.0,0.0,root,kworker/0:2H-events_highpri
112927,00:00:00,0.0,0.0,whoopsie,whoopsie
143413,00:01:09,0.0,0.7,vektor,dolphin
143422,00:00:13,0.0,0.0,vektor,zsh
143507,00:00:00,0.0,0.0,vektor,zsh
143508,00:00:00,0.0,0.0,vektor,zsh
143511,00:00:00,0.0,0.0,vektor,zsh
143516,00:00:01,0.0,0.0,vektor,gitstatusd-linu
147643,02:10:49,9.2,4.7,vektor,firefox
147697,00:44:59,3.1,3.8,vektor,WebExtensions
147919,00:00:11,0.0,0.5,vektor,plasma-browser-
148077,00:05:28,0.3,0.2,vektor,RDD,Process
157341,00:07:42,0.6,1.7,vektor,spotify
157344,00:00:00,0.0,0.4,vektor,spotify
157345,00:00:00,0.0,0.4,vektor,spotify
157360,00:02:34,0.2,0.5,vektor,spotify
157368,00:00:21,0.0,0.6,vektor,spotify
157390,00:08:10,0.6,2.0,vektor,spotify
163069,00:00:00,0.0,0.0,root,cupsd
163072,00:00:00,0.0,0.0,root,cups-browsed
166537,00:00:35,0.1,0.8,vektor,code
166539,00:00:00,0.0,0.2,vektor,code
166540,00:00:00,0.0,0.2,vektor,code
166568,00:01:29,0.3,0.6,vektor,code
166575,00:00:01,0.0,0.4,vektor,code
166594,00:03:31,0.7,1.8,vektor,code
166674,00:01:30,0.3,1.3,vektor,code
166705,00:00:01,0.0,0.4,vektor,code
166736,00:00:26,0.0,0.7,vektor,code
166793,00:00:01,0.0,0.3,vektor,code
166890,00:00:05,0.0,0.1,vektor,TabNine
166919,00:00:04,0.0,0.5,vektor,TabNine
166978,00:00:15,0.0,3.2,vektor,TabNine-deep-lo
168434,00:00:00,0.0,0.1,vektor,snap
168698,00:00:00,0.0,1.0,vektor,php
168796,00:00:01,0.0,0.5,vektor,code
168797,00:00:01,0.0,0.3,vektor,code
170303,00:00:39,0.1,0.5,vektor,terminator
173480,00:00:58,0.2,2.4,mysql,mysqld
177058,00:00:01,0.0,0.0,vektor,zsh
177066,00:00:00,0.0,0.0,vektor,zsh
177134,00:00:00,0.0,0.0,vektor,zsh
177135,00:00:00,0.0,0.0,vektor,zsh
177137,00:00:00,0.0,0.0,vektor,gitstatusd-linu
181563,00:00:02,0.0,0.0,vektor,zsh
181572,00:00:00,0.0,0.0,vektor,zsh
181638,00:00:00,0.0,0.0,vektor,zsh
181640,00:00:00,0.0,0.0,vektor,zsh
181641,00:00:00,0.0,0.0,vektor,gitstatusd-linu
184905,00:00:00,0.0,0.1,root,apache2
